Id,Title,Abstract,Author,Year,Venue,Search_Strings,DOI
1,Harnessing Large Language Models for Automated Software Testing: A Leap Towards Scalable Test Case Generation,"Software testing is critical for ensuring software reliability, with test case generation often being resource-intensive and time-consuming. This study leverages the Llama-2 large language model (LLM) to automate unit test generation for Java focal methods, demonstrating the potential of AI-driven approaches to optimize software testing workflows. Our work leverages focal methods to prioritize critical components of the code to produce more context-sensitive and scalable test cases. The dataset, comprising 25,000 curated records, underwent tokenization and QLoRA quantization to facilitate training. The model was fine-tuned, achieving a training loss of 0.046. These results show the promise of AI-driven test case generation and underscore the feasibility of using fine-tuned LLMs for test case generation, highlighting opportunities for improvement through larger datasets, advanced hyperparameter optimization, and enhanced computational resources. We conducted a human-in-the-loop validation on a subset of unit tests generated by our fined-tuned LLM. This confirms that these tests effectively leverage focal methods, demonstrating the model’s capability to generate more contextually accurate unit tests. The work suggests the need to develop novel validation objective metrics specifically tailored for the automation of test cases generated by utilizing large language models. This work establishes a foundation for scalable and efficient software testing solutions driven by artificial intelligence. The data and code are publicly available on GitHub.",S. C. Rehan|Baidaa Al-Bander|Amro Al-Said Ahmad,2025,Electronics,String A,https://doi.org/10.3390/electronics14071463
2,Large Language Models for Automated Web-Form-Test Generation: An Empirical Study,,Tao Li|Chenhui Cui|Rubing Huang|Dave Towey|Lei Ma,2025,ACM Transactions on Software Engineering and Methodology,String A,https://doi.org/10.1145/3735553
3,STRUT: Structured Seed Case Guided Unit Test Generation for C Programs using LLMs,,Jinwei Liu|Li Chao|Rui Chen|Shaofeng Li|Bin Gu|Mengfei Yang,2025,Proceedings of the ACM on software engineering.,String A,https://doi.org/10.1145/3728970
4,LLM4TDG: test-driven generation of large language models based on enhanced constraint reasoning,"Abstract With the evolution of modern software development paradigms, component reuse, and low-code approaches have emerged as mainstream in software development. However, developers often lack an in-depth understanding of reused code. The inability of components to operate autonomously leads to insufficient testing of software functionalities and security, further exacerbating the contradiction between the increasing complexity of software architectures and the demand for accurate and efficient software automation testing. This, in turn, increases the frequency of software supply chain security incidents. This paper proposes a test-driven generation framework, LLM4TDG, based on large language models (LLMs). By formally defining the constraint dependency graph and converting it into context constraints, LLMs’ ability to understand natural language descriptions such as test requirements and documents is enhanced. Constraint reasoning and backtracking mechanisms are then used to generate test drivers that satisfy the defined constraints automatically. Using the EvalPlus dataset, we evaluate the comprehensive capabilities of LLM4TDG in test case generation using four general-domain LLMs and five code-generation-domain LLMs. The experimental results indicate that our approach significantly enhances LLMs’ ability to comprehend constraints in testing objectives, achieving a 47.62% increase in constraint understanding across 147 testing tasks. Employing LLM4TDG significantly improves the average pass@k metric of all LLMs by 10.41%. The pass@k metric for CodeQwen-chat has improved by up to 18.66%. The metric surpasses the state-of-the-art GPT-4, with a performance of 92.16% on HUMANEVAL and 87.14% on HUMANEVAL+, which enhances the error correction and functional correctness in test-driven code generation. Meanwhile, Our experiments were conducted on a dataset of Python third-party libraries containing malicious behavior in the context of security testing tasks, validating the effectiveness of our method in real-world applications and its generalization capabilities.",Jingqiang Liu|Ruigang Liang|Xinran Zhu|Yue Zhang|Yuling Liu|Qixu Liu,2025,Cybersecurity,String A,https://doi.org/10.1186/s42400-024-00335-4
5,<scp>CITYWALK</scp> : Enhancing LLM-Based C++ Unit Test Generation via Project-Dependency Awareness and Language-Specific Knowledge,"Unit testing plays a pivotal role in the software development lifecycle, as it ensures code quality. However, writing high-quality unit tests remains a time-consuming task for developers in practice. More recently, the application of large language models (LLMs) in automated unit test generation has demonstrated promising results. Existing approaches primarily focus on interpreted programming languages (e.g., Java), while mature solutions tailored to compiled programming languages like C++ are yet to be explored. The intricate language features of C++, such as pointers, templates, and virtual functions, pose particular challenges for LLMs in generating both executable and high-coverage unit tests. To tackle the aforementioned problems, this article introduces CITYWALK , a novel LLM-based framework for C++ unit test generation. CITYWALK enhances LLMs by providing a comprehensive understanding of the dependency relationships within the project under test via program analysis. Furthermore, CITYWALK incorporates language-specific knowledge about C++ derived from project documentation and empirical observations, significantly improving the correctness of the LLM-generated unit tests. We implement CITYWALK by employing the widely popular LLM GPT-4o. The experimental results show that CITYWALK outperforms current state-of-the-art approaches on a collection of ten popular C++ projects. Our findings demonstrate the effectiveness of CITYWALK in generating high-quality C++ unit tests.",Yuwei Zhang|Qingyuan Lu|Kai Liu|Wensheng Dou|Jiaxin Zhu|Qian Li|Chunzi Zhang|Zheng Lin|Jun Wei,2025,ACM Transactions on Software Engineering and Methodology,String A,https://doi.org/10.1145/3763791
6,Automated Test Generation Using Large Language Models,"This study explores the potential of generative AI, specifically Large Language Models (LLMs), in automating unit test generation in Python 3.13. We analyze tests, both those created by programmers and those generated by LLM models, for fifty source code cases. Our main focus is on how the choice of model, the difficulty of the source code, and the prompting strategy influence the quality of the generated tests. The results show that AI models can help automate test creation for simple code, but their effectiveness decreases for more complex tasks. We introduce an embedding-based similarity analysis to assess how closely AI-generated tests resemble human-written ones, revealing that AI outputs often lack semantic diversity. The study also highlights the potential of AI models for rapid test prototyping, which can significantly speed up the software development cycle. However, further customization and training of the models on specific use cases is needed to achieve greater precision. Our findings provide practical insights into integrating LLMs into software testing workflows and emphasize the importance of prompt design and model selection.",Marcin Andrzejewski|Nina Dubicka|Jedrzej Podolak|Marek Kowal|Jakub Silka,2025,Data,String A,https://doi.org/10.3390/data10100156
7,A Retrospective on Whole Test Suite Generation: On the Role of SBST in the Age of LLMs,,Gordon Fraser|Andrea Arcuri,2025,IEEE Transactions on Software Engineering,String A,https://doi.org/10.1109/tse.2025.3539458
8,Design and evaluation of ChatGPT-MWPS: an AI-enhanced learning system for improving primary students’ mathematical word problem solving,"Abstract Mathematical word problem solving is a fundamental aspect of primary mathematics education, yet students often struggle with translating textual descriptions into structured mathematical representations. In response to this challenge, this study introduces and evaluates ChatGPT-MWPS, an AI-enhanced learning system designed to support fifth-grade students in developing mathematical problem-solving skills through adaptive scaffolding and real-time, step-by-step feedback. Built on a Java-based framework and incorporating OpenAI’s generative AI technology, the system interprets problem content and delivers personalized solution guidance within a digital test paper environment. It supports key instructional functions, such as batch question import, automated test generation, and user management, enabling flexible application in both classroom and self-directed learning settings. A quasi-experimental design was employed with 52 fifth-grade participants to assess the system’s usability and potential educational effectiveness. System perofrmance was measured using a standardized usability scale with 13 dimensions . Results demonstrate that ChatGPT-MWPS achieved favorable usability ratings across the measured dimensions, with particularly strong performance in system reliability, information quality, and cognitive engagement. These findings establish the system's potential for enhancing mathematical learning experiences through its well-received usability characteristics and functional effectiveness. This research contributes to the growing domain of AI in education by demonstrating how generative AI can facilitate personalized mathematics instruction in primary school settings. The outcomes provide practical implications for the design of intelligent tutoring systems that aim to enhance mathematical reasoning and promote learner autonomy.",Jingxi Liu|Therese Keane|Daner Sun|Yuqin Yang|Yin Yang,2025,Smart Learning Environments,String A,https://doi.org/10.1186/s40561-025-00419-9
9,LLM-enhanced evolutionary test generation for untyped languages,,Ruofan Yang|Xianghua Xu|Ran Wang,2025,Automated Software Engineering,String A,https://doi.org/10.1007/s10515-025-00496-7
10,Benchmarking LLMs for Unit Test Generation from Real-World Functions,,Dong Huang|Jie M. Zhang|Mark Harman|Q. Zhang|Mingzhe Du|See-Kiong Ng,2026,ACM Transactions on Software Engineering and Methodology,String A,https://doi.org/10.1145/3805043
