sample_index,repo_id,class_key,focal_class,arm,generator,fail_stage,failure_owner,failure_owner_note,failure_artifact,failure_detail,source_run_id,source_run_sample_index
1,74999474,74999474:parsec-clients/src/main/java/com/yahoo/parsec/clients/parsecasynccompletionhandlerbase.java,ParsecAsyncCompletionHandlerBase,gpt,gpt-4o-mini-2024-07-18,gradle_verify_failed,agonetest_harness,AgoneTest/RBL4 runner chưa đo/trích xuất được metric rõ ràng; không quy trực tiếp cho năng lực sinh test.,output\74999474\TestClasses_74999474_gpt-4o-mini-2024-07-18_rbl4-zero-shot.gradlefailed,"Initializing ExecutionManager... Loaded prompts: {'rbl4-zero-shot': [{'role': 'system', 'content': 'You are provided with Java class. Create a test class that fully tests the proposed Java class using the project information for imports. Reply with code only, do not add other text that is not code.'}, {'role': 'user', 'content': 'The project uses {{testing_framework}} and Java {{java_version}} and Java class is:\n<code>\n{{focal_class}}\n</code>'}]} Loaded agents: {'evosuite': {}, 'gpt-4o-mini-2024-07-18': {'temperature': 0, 'top_p': 1, 'max_tokens': 2048, 'frequency_penalty': 0, 'presence_penalty': 0}} Fetching agents list... Fetching prompts list... Starting to generate files At least 0 projects are compatible for evosuite execution! ------------------------------------------------------------------- PROCESSING PROJECT: '74999474' ---- Processing project: 74999474, module: parsec-clients [RBL4] requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172 74999474_parsec-clients is a Gradle project 74999474_parsec-clients is a Gradle TestNG module; enabling TestNG execution and PIT TestNG plugin support. ---- STARTING evosuite test type --//loading evosuite generation",pilot60_resume_20260724_083102,40
1,74999474,74999474:parsec-clients/src/main/java/com/yahoo/parsec/clients/parsecasynccompletionhandlerbase.java,ParsecAsyncCompletionHandlerBase,evosuite,evosuite,agone_runtime_failed,agonetest_harness,AgoneTest/RBL4 runner chưa đo/trích xuất được metric rõ ràng; không quy trực tiếp cho năng lực sinh test.,output\74999474\TestClasses_74999474_evosuite.failed,"Initializing ExecutionManager... Loaded prompts: {'rbl4-zero-shot': [{'role': 'system', 'content': 'You are provided with Java class. Create a test class that fully tests the proposed Java class using the project information for imports. Reply with code only, do not add other text that is not code.'}, {'role': 'user', 'content': 'The project uses {{testing_framework}} and Java {{java_version}} and Java class is:\n<code>\n{{focal_class}}\n</code>'}]} Loaded agents: {'evosuite': {}, 'gpt-4o-mini-2024-07-18': {'temperature': 0, 'top_p': 1, 'max_tokens': 2048, 'frequency_penalty': 0, 'presence_penalty': 0}} Fetching agents list... Fetching prompts list... Starting to generate files At least 0 projects are compatible for evosuite execution! ------------------------------------------------------------------- PROCESSING PROJECT: '74999474' ---- Processing project: 74999474, module: parsec-clients [RBL4] requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172 74999474_parsec-clients is a Gradle project 74999474_parsec-clients is a Gradle TestNG module; enabling TestNG execution and PIT TestNG plugin support. ---- STARTING evosuite test type --//loading evosuite generation",pilot60_resume_20260724_083102,40
2,9884445,9884445:minnal-jaxrs/minnal-instrumentation-jaxrs/src/main/java/org/minnal/instrument/entity/metadata/handler/manytomanyannotationhandler.java,ManyToManyAnnotationHandler,gpt,gpt-4o-mini-2024-07-18,generated_test_compile_failed,generator_output,Generated test của arm này sai/không tương thích nên compilation=0 và strict metrics=0.,output\9884445\TestClasses_9884445_gpt-4o-mini-2024-07-18_rbl4-zero-shot.mavenfailed,"The following general errors were encountered during the Maven build: - COMPILATION ERROR : - \A_ThucNghiem\scripts_v2\workspaces\20260724_022225_resume240\232_9884445_a6306c47\compiledrepos\9884445\minnal-jaxrs\minnal-instrumentation-jaxrs\src\test\java\org\minnal\instrument\entity\metadata\handler\ManyToManyAnnotationHandler_RBL4_a6306c47Test.java:[13,44] error: cannot find symbol - - Failed to execute goal org.apache.maven.plugins:maven-compiler-plugin:2.1:testCompile (default-testCompile) on project minnal-instrumentation-jaxrs: Compilation failure - \A_ThucNghiem\scripts_v2\workspaces\20260724_022225_resume240\232_9884445_a6306c47\compiledrepos\9884445\minnal-jaxrs\minnal-instrumentation-jaxrs\src\test\java\org\minnal\instrument\entity\metadata\handler\ManyToManyAnnotationHandler_RBL4_a6306c47Test.java:[13,44] error: cannot find symbol - - - -> [Help 1] - - To see the full stack trace of the errors, re-run Maven with the -e switch. - Re-run Maven using the -X switch to enable full debug logging. - - For more information about the errors and possible solutions, please read the following articles: - [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException",20260724_022225_resume240,232
2,9884445,9884445:minnal-jaxrs/minnal-instrumentation-jaxrs/src/main/java/org/minnal/instrument/entity/metadata/handler/manytomanyannotationhandler.java,ManyToManyAnnotationHandler,evosuite,evosuite,generated_test_compile_failed,generator_output,Generated test của arm này sai/không tương thích nên compilation=0 và strict metrics=0.,output\9884445\TestClasses_9884445_evosuite.mavenfailed,"The following general errors were encountered during the Maven build: - COMPILATION ERROR : - \A_ThucNghiem\scripts_v2\workspaces\20260724_022225_resume240\232_9884445_a6306c47\compiledrepos\9884445\minnal-jaxrs\minnal-instrumentation-jaxrs\src\test\java\org\minnal\instrument\entity\metadata\handler\ManyToManyAnnotationHandler_RBL4_a6306c47Test.java:[13,44] error: cannot find symbol - - Failed to execute goal org.apache.maven.plugins:maven-compiler-plugin:2.1:testCompile (default-testCompile) on project minnal-instrumentation-jaxrs: Compilation failure - \A_ThucNghiem\scripts_v2\workspaces\20260724_022225_resume240\232_9884445_a6306c47\compiledrepos\9884445\minnal-jaxrs\minnal-instrumentation-jaxrs\src\test\java\org\minnal\instrument\entity\metadata\handler\ManyToManyAnnotationHandler_RBL4_a6306c47Test.java:[13,44] error: cannot find symbol - - - -> [Help 1] - - To see the full stack trace of the errors, re-run Maven with the -e switch. - Re-run Maven using the -X switch to enable full debug logging. - - For more information about the errors and possible solutions, please read the following articles: - [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException",20260724_022225_resume240,232
3,41627638,41627638:leetcode/battleships-in-a-board/src/main/java/com/github/singlenumber/solution.java,Solution,evosuite,evosuite,agone_runtime_failed,agonetest_harness,AgoneTest/RBL4 runner chưa đo/trích xuất được metric rõ ràng; không quy trực tiếp cho năng lực sinh test.,output\41627638\TestClasses_41627638_evosuite.failed,"Initializing ExecutionManager... Loaded prompts: {'rbl4-zero-shot': [{'role': 'system', 'content': 'You are provided with Java class. Create a test class that fully tests the proposed Java class using the project information for imports. Reply with code only, do not add other text that is not code.'}, {'role': 'user', 'content': 'The project uses {{testing_framework}} and Java {{java_version}} and Java class is:\n<code>\n{{focal_class}}\n</code>'}]} Loaded agents: {'evosuite': {}, 'gpt-4o-mini-2024-07-18': {'temperature': 0, 'top_p': 1, 'max_tokens': 2048, 'frequency_penalty': 0, 'presence_penalty': 0}} Fetching agents list... Fetching prompts list... Starting to generate files At least 1 projects are compatible for evosuite execution! ------------------------------------------------------------------- PROCESSING PROJECT: '41627638' ---- Processing project: 41627638, module: leetcode/battleships-in-a-board [RBL4] requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172 41627638_leetcode/battleships-in-a-board is a Gradle project ---- STARTING evosuite test type --//loading evosuite generation..// Evosuite generation performed correctly for the Solution class An err",20260724_022225_resume240,32
5,39195736,39195736:sonar-jproperties-plugin/src/main/java/org/sonar/plugins/jproperties/javapropertiesplugin.java,JavaPropertiesPlugin,gpt,gpt-4o-mini-2024-07-18,generated_test_compile_failed,generator_output,Generated test của arm này sai/không tương thích nên compilation=0 và strict metrics=0.,output\39195736\TestClasses_39195736_gpt-4o-mini-2024-07-18_rbl4-zero-shot.mavenfailed,"The following compilation errors were encountered during the Maven build: - - /D:/A_ThucNghiem/scripts_v2/workspaces/20260724_022225_resume240/016_39195736_f9bc17aa/compiledrepos/39195736/sonar-jproperties-plugin/src/main/java/org/sonar/plugins/jproperties/issuesaver/crossfile/DuplicatedKeysAcrossFilesCheckIssueSaver.java:[56,41] cannot access org.sonar.plugins.jproperties.api.tree.KeyTree - bad class file: C:\Users\admin\.m2\repository\org\codehaus\sonar-plugins\jproperties\jproperties-frontend\2.7-SNAPSHOT\jproperties-frontend-2.7-SNAPSHOT.jar(org/sonar/plugins/jproperties/api/tree/KeyTree.class) - unable to access file: corrupted zip file - Please remove or make sure it appears in the correct subdirectory of the classpath.",20260724_022225_resume240,16
5,39195736,39195736:sonar-jproperties-plugin/src/main/java/org/sonar/plugins/jproperties/javapropertiesplugin.java,JavaPropertiesPlugin,evosuite,evosuite,agone_runtime_failed,agonetest_harness,AgoneTest/RBL4 runner chưa đo/trích xuất được metric rõ ràng; không quy trực tiếp cho năng lực sinh test.,output\39195736\TestClasses_39195736_evosuite.failed,"Initializing ExecutionManager... Loaded prompts: {'rbl4-zero-shot': [{'role': 'system', 'content': 'You are provided with Java class. Create a test class that fully tests the proposed Java class using the project information for imports. Reply with code only, do not add other text that is not code.'}, {'role': 'user', 'content': 'The project uses {{testing_framework}} and Java {{java_version}} and Java class is:\n<code>\n{{focal_class}}\n</code>'}]} Loaded agents: {'evosuite': {}, 'gpt-4o-mini-2024-07-18': {'temperature': 0, 'top_p': 1, 'max_tokens': 2048, 'frequency_penalty': 0, 'presence_penalty': 0}} Fetching agents list... Fetching prompts list... Starting to generate files At least 1 projects are compatible for evosuite execution! ------------------------------------------------------------------- PROCESSING PROJECT: '39195736' ---- Processing project: 39195736, module: sonar-jproperties-plugin [RBL4] requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172 39195736_sonar-jproperties-plugin is a Maven project ---- STARTING evosuite test typ --//loading evosuite generation..// Evosuite generation performed correctly for the JavaPropertiesPlugin class --//loadin",20260724_022225_resume240,16
6,74999474,74999474:parsec-clients/src/main/java/com/yahoo/parsec/clients/randomnameresolver.java,RandomNameResolver,evosuite,evosuite,agone_runtime_failed,agonetest_harness,AgoneTest/RBL4 runner chưa đo/trích xuất được metric rõ ràng; không quy trực tiếp cho năng lực sinh test.,output\74999474\TestClasses_74999474_evosuite.failed,"Initializing ExecutionManager... Loaded prompts: {'rbl4-zero-shot': [{'role': 'system', 'content': 'You are provided with Java class. Create a test class that fully tests the proposed Java class using the project information for imports. Reply with code only, do not add other text that is not code.'}, {'role': 'user', 'content': 'The project uses {{testing_framework}} and Java {{java_version}} and Java class is:\n<code>\n{{focal_class}}\n</code>'}]} Loaded agents: {'evosuite': {}, 'gpt-4o-mini-2024-07-18': {'temperature': 0, 'top_p': 1, 'max_tokens': 2048, 'frequency_penalty': 0, 'presence_penalty': 0}} Fetching agents list... Fetching prompts list... Starting to generate files At least 0 projects are compatible for evosuite execution! ------------------------------------------------------------------- PROCESSING PROJECT: '74999474' ---- Processing project: 74999474, module: parsec-clients [RBL4] requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172 74999474_parsec-clients is a Gradle project 74999474_parsec-clients is a Gradle TestNG module; enabling TestNG execution and PIT TestNG plugin support. ---- STARTING evosuite test type --//loading evosuite generation",20260724_022225_resume240,160
7,9884445,9884445:minnal-jaxrs/minnal-instrumentation-jaxrs/src/main/java/org/minnal/instrument/entity/metadata/handler/secureannotationhandler.java,SecureAnnotationHandler,evosuite,evosuite,generated_test_compile_failed,generator_output,Generated test của arm này sai/không tương thích nên compilation=0 và strict metrics=0.,output\9884445\TestClasses_9884445_evosuite.mavenfailed,"Initializing ExecutionManager... Loaded prompts: {'rbl4-zero-shot': [{'role': 'system', 'content': 'You are provided with Java class. Create a test class that fully tests the proposed Java class using the project information for imports. Reply with code only, do not add other text that is not code.'}, {'role': 'user', 'content': 'The project uses {{testing_framework}} and Java {{java_version}} and Java class is:\n<code>\n{{focal_class}}\n</code>'}]} Loaded agents: {'evosuite': {}, 'gpt-4o-mini-2024-07-18': {'temperature': 0, 'top_p': 1, 'max_tokens': 2048, 'frequency_penalty': 0, 'presence_penalty': 0}} Fetching agents list... Fetching prompts list... Starting to generate files At least 0 projects are compatible for evosuite execution! ------------------------------------------------------------------- PROCESSING PROJECT: '9884445' ---- Processing project: 9884445, module: minnal-jaxrs/minnal-instrumentation-jaxrs [RBL4] requested=1.7 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172 9884445_minnal-jaxrs/minnal-instrumentation-jaxrs is a Maven project ---- STARTING evosuite test typ --//loading evosuite generation..// Evosuite generation performed correctly for the Secure",pilot60_resume_20260724_083102,58
9,77481567,77481567:core/src/main/java/de/voidnode/trading4j/functionality/timeframeconversion/discretetimeframeconvertingindicator.java,DiscreteTimeFrameConvertingIndicator,gpt,gpt-4o-mini-2024-07-18,generated_test_compile_failed,generator_output,Generated test của arm này sai/không tương thích nên compilation=0 và strict metrics=0.,output\77481567\TestClasses_77481567_gpt-4o-mini-2024-07-18_rbl4-zero-shot.mavenfailed,"The following compilation errors were encountered during the Maven build: - - /D:/A_ThucNghiem/scripts_v2/workspaces/20260724_022225_resume240/168_77481567_e0da87f5/compiledrepos/77481567/core/src/test/java/de/voidnode/trading4j/functionality/timeframeconversion/DiscreteTimeFrameConvertingIndicator_RBL4_e0da87f5Test.java:[33,30] constructor TimeFrameConverter in class de.voidnode.trading4j.functionality.timeframeconversion.TimeFrameConverter<CIN,COUT,ITF,OTF> cannot be applied to given types; - required: de.voidnode.trading4j.domain.timeframe.TimeFrame,de.voidnode.trading4j.domain.timeframe.TimeFrame - found: no arguments - reason: actual and formal argument lists differ in length - /D:/A_ThucNghiem/scripts_v2/workspaces/20260724_022225_resume240/168_77481567_e0da87f5/compiledrepos/77481567/core/src/test/java/de/voidnode/trading4j/functionality/timeframeconversion/DiscreteTimeFrameConvertingIndicator_RBL4_e0da87f5Test.java:[33,135] <anonymous de.voidnode.trading4j.functionality.timeframeconversion.DiscreteTimeFrameConvertingIndicator_RBL4_e0da87f5Test$2> is not abstract and does not override abstract method buildAggregatedStick(de.voidnode.trading4j.domain.marketdata.impl.MutableFu",20260724_022225_resume240,168
