id,title,authors,year,venue,search_strings,v1_decision,v1_reason,v2_decision,v2_reason
1,"(Programs), Proofs and Refutations (and Tests and Mutants)","Groce, Alex",2024,"Proceedings of the 2024 ACM SIGPLAN International Symposium on New Ideas, New Paradigms, and Reflections on Programming and Software",String A,EXCLUDE,"EC-N - Bài viết dạng tiểu luận (essay), thảo luận giả tưởng, không có thực nghiệm.",x,
2,ContrastRepair: Enhancing Conversation-Based Automated Program Repair via Contrastive Test Case Pairs,"Kong, Jiaolong; Xie, Xiaofei; Cheng, Mingfei; Liu, Shangqing; Du, Xiaoning; Guo, Qi",2025,ACM Transactions on Software Engineering and Methodology,"String A, String B",EXCLUDE,EC-O - Sửa lỗi chương trình tự động (APR),x,
3,CITYWALK: Enhancing LLM-Based C++ Unit Test Generation via Project-Dependency Awareness and Language-Specific Knowledge,"Zhang, Yuwei; Lu, Qingyuan; Liu, Kai; Dou, Wensheng; Zhu, Jiaxin; Qian, Li; Zhang, Chunxi; Lin, Zheng; Wei, Jun",2026,ACM Transactions on Software Engineering and Methodology,"String A, String B, String C",EXCLUDE,"EC-O - Sinh unit test cho C++, không thuộc phạm vi Java/Python",x,
4,Citadel : Context Similarity Based Deep Learning Framework Bug Finding,"Zhang, Xiaoyu; Zhai, Juan; Ma, Shiqing; Wang, Shiwei; Shen, Chao",2025,ACM Transactions on Software Engineering and Methodology,String A,EXCLUDE,EC-O - Tìm lỗi trong khung làm việc Deep Learning (Framework Testing) không phải unit test.,x,
5,DrWASI : LLM-assisted Differential Testing for WebAssembly System Interface Implementations,"Zhang, Yixuan; He, Ningyu; Gao, Jianting; Cao, Shangtong; Liu, Kaibo; Wang, Haoyu; Ma, Yun; Huang, Gang; Liu, Xuanzhe",2026,ACM Transactions on Software Engineering and Methodology,String A,EXCLUDE,EC-O - Kiểm thử cài đặt WebAssembly (WASI) không phải unit testing Java/Python,x,
6,FAVDisco : Modeling and Discovering File Access Vulnerabilities,"Zhao, Beibei; Feng, Wenjie; Guo, Qingli; Sun, Yingli; Gu, Fangming; Zhang, Bolun; Gong, Xiaorui; Li, Hong",2026,ACM Transactions on Software Engineering and Methodology,"String A, String B",EXCLUDE,EC-O - Phát hiện lỗ hổng truy cập tệp trên Windows,x,
7,Testing and Mitigating Ethically Inconsistent Suggestions of Large Language Models with Reflective Equilibrium,"Ma, Pingchuan; Wang, Zhaoyu; Li, Zongjie; Ji, Zhenlan; Sun, Ao; Rahmel, Juergen; Wang, Shuai",2026,ACM Transactions on Software Engineering and Methodology,String A,EXCLUDE,EC-O - Kiểm thử tính nhất quán về đạo đức của LLM,x,
8,Vital : Vulnerability-Oriented Symbolic Execution via Type-Unsafe Pointer-Guided Monte Carlo Tree Search,"Tu, Haoxin; Jiang, Lingxiao; Böhme, Marcel",2026,ACM Transactions on Software Engineering and Methodology,"String A, String B",EXCLUDE,EC-O - Thực thi biểu tượng hướng lỗ hổng bảo mật,x,
9,A 2030 Roadmap for Software Engineering,"Pezzè, Mauro; Abrahão, Silvia; Penzenstadler, Birgit; Poshyvanyk, Denys; Roychoudhury, Abhik; Yue, Tao",2025,ACM Transactions on Software Engineering and Methodology,"String A, String B",EXCLUDE,EC-N - Bài viết về lộ trình nghiên cứu SE năm 2030,x,
10,A Case for Learned Cloud Emulators,"Bhatnagar, Archit; Qiu, Yiming; McClure, Sarah; Ratnasamy, Sylvia; Chen, Ang",2025,Proceedings of the 24th ACM Workshop on Hot Topics in Networks,String A,EXCLUDE,EC-O - Sinh mã cho trình giả lập đám mây (Cloud Emulator) từ tài liệu.,x,
11,A Catalog of Data Smells for Coding Tasks,"Vitale, Antonio; Oliveto, Rocco; Scalabrino, Simone",2025,ACM Transactions on Software Engineering and Methodology,String A,EXCLUDE,EC-N - Bài tổng quan hệ thống (SLR) về mùi dữ liệu (Data Smells).,x,
