source_sample,run_mode,source_row_index,project,module,focal_class,test_class,id_focal_class,arm,generator,prompt_technique,fairness_policy,generated_test_file,generated_test_file_exists,failure_markers,baseline_build_status,baseline_build_detail,compilation,branch_coverage_compiled_only,line_coverage_compiled_only,method_coverage_compiled_only,mutation_score_compiled_only,branch_coverage_strict_zero_fill,line_coverage_strict_zero_fill,method_coverage_strict_zero_fill,mutation_score_strict_zero_fill,fail_stage
D:\balanced_delivery\balanced_bundle_300\output\classes_main.csv,dry_run,0,75368166,simple,Greeter,GreeterTest,75368166_Greeter,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,no_repair_no_source_fix_generated_failures_zero_filled,output/75368166/response_gpt-4o-mini-2024-07-18_rbl4-zero-shot_GreeterTest.java,0,,,,0,,,,,0.0,0.0,0.0,0.0,dry_run_no_agone_execution
D:\balanced_delivery\balanced_bundle_300\output\classes_main.csv,dry_run,0,75368166,simple,Greeter,GreeterTest,75368166_Greeter,evosuite,evosuite,-,no_repair_no_source_fix_generated_failures_zero_filled,output/75368166/response_evosuite_GreeterTest.java,0,,,,0,,,,,0.0,0.0,0.0,0.0,dry_run_no_agone_execution
D:\balanced_delivery\balanced_bundle_300\output\classes_main.csv,dry_run,1,7723306,ezdb-treemap,EzObjectTreeMapDb,TestEzObjectTreeMapDb,7723306_EzObjectTreeMapDb,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,no_repair_no_source_fix_generated_failures_zero_filled,output/7723306/response_gpt-4o-mini-2024-07-18_rbl4-zero-shot_TestEzObjectTreeMapDb.java,0,,,,0,,,,,0.0,0.0,0.0,0.0,dry_run_no_agone_execution
D:\balanced_delivery\balanced_bundle_300\output\classes_main.csv,dry_run,1,7723306,ezdb-treemap,EzObjectTreeMapDb,TestEzObjectTreeMapDb,7723306_EzObjectTreeMapDb,evosuite,evosuite,-,no_repair_no_source_fix_generated_failures_zero_filled,output/7723306/response_evosuite_TestEzObjectTreeMapDb.java,0,,,,0,,,,,0.0,0.0,0.0,0.0,dry_run_no_agone_execution
D:\balanced_delivery\balanced_bundle_300\output\classes_main.csv,dry_run,2,88231534,opentracing-mongo-common,NoopSpanNameProvider,NoopSpanNameProviderTest,88231534_NoopSpanNameProvider,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,no_repair_no_source_fix_generated_failures_zero_filled,output/88231534/response_gpt-4o-mini-2024-07-18_rbl4-zero-shot_NoopSpanNameProviderTest.java,0,,,,0,,,,,0.0,0.0,0.0,0.0,dry_run_no_agone_execution
D:\balanced_delivery\balanced_bundle_300\output\classes_main.csv,dry_run,2,88231534,opentracing-mongo-common,NoopSpanNameProvider,NoopSpanNameProviderTest,88231534_NoopSpanNameProvider,evosuite,evosuite,-,no_repair_no_source_fix_generated_failures_zero_filled,output/88231534/response_evosuite_NoopSpanNameProviderTest.java,0,,,,0,,,,,0.0,0.0,0.0,0.0,dry_run_no_agone_execution
D:\balanced_delivery\balanced_bundle_300\output\classes_main.csv,dry_run,3,88231534,opentracing-mongo-common,TracingCommandListener,TracingCommandListenerTest,88231534_TracingCommandListener,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,no_repair_no_source_fix_generated_failures_zero_filled,output/88231534/response_gpt-4o-mini-2024-07-18_rbl4-zero-shot_TracingCommandListenerTest.java,0,,,,0,,,,,0.0,0.0,0.0,0.0,dry_run_no_agone_execution
D:\balanced_delivery\balanced_bundle_300\output\classes_main.csv,dry_run,3,88231534,opentracing-mongo-common,TracingCommandListener,TracingCommandListenerTest,88231534_TracingCommandListener,evosuite,evosuite,-,no_repair_no_source_fix_generated_failures_zero_filled,output/88231534/response_evosuite_TracingCommandListenerTest.java,0,,,,0,,,,,0.0,0.0,0.0,0.0,dry_run_no_agone_execution
D:\balanced_delivery\balanced_bundle_300\output\classes_main.csv,dry_run,4,88231534,opentracing-mongo-common,TracingCommandListener,TracingCommandListenerTest,88231534_TracingCommandListener,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,no_repair_no_source_fix_generated_failures_zero_filled,output/88231534/response_gpt-4o-mini-2024-07-18_rbl4-zero-shot_TracingCommandListenerTest.java,0,,,,0,,,,,0.0,0.0,0.0,0.0,dry_run_no_agone_execution
D:\balanced_delivery\balanced_bundle_300\output\classes_main.csv,dry_run,4,88231534,opentracing-mongo-common,TracingCommandListener,TracingCommandListenerTest,88231534_TracingCommandListener,evosuite,evosuite,-,no_repair_no_source_fix_generated_failures_zero_filled,output/88231534/response_evosuite_TracingCommandListenerTest.java,0,,,,0,,,,,0.0,0.0,0.0,0.0,dry_run_no_agone_execution
