source_sample,run_mode,source_row_index,project,module,focal_class,test_class,id_focal_class,arm,generator,prompt_technique,fairness_policy,generated_test_file,generated_test_file_exists,failure_markers,baseline_build_status,baseline_build_detail,compilation,branch_coverage_compiled_only,line_coverage_compiled_only,method_coverage_compiled_only,mutation_score_compiled_only,branch_coverage_strict_zero_fill,line_coverage_strict_zero_fill,method_coverage_strict_zero_fill,mutation_score_strict_zero_fill,fail_stage
D:\pilot_delivery\pilot_delivery\pilot_bundle_24\output\pilot_24_classes.csv,dry_run,0,58086354,demo/gRPC/okhttp,OkHttpClientStream,OkHttpClientStreamTest,58086354_OkHttpClientStream,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,no_repair_no_source_fix_generated_failures_zero_filled,output/58086354/response_gpt-4o-mini-2024-07-18_rbl4-zero-shot_OkHttpClientStreamTest.java,0,,,,0,,,,,0.0,0.0,0.0,0.0,dry_run_no_agone_execution
D:\pilot_delivery\pilot_delivery\pilot_bundle_24\output\pilot_24_classes.csv,dry_run,0,58086354,demo/gRPC/okhttp,OkHttpClientStream,OkHttpClientStreamTest,58086354_OkHttpClientStream,evosuite,evosuite,-,no_repair_no_source_fix_generated_failures_zero_filled,output/58086354/response_evosuite_OkHttpClientStreamTest.java,0,,,,0,,,,,0.0,0.0,0.0,0.0,dry_run_no_agone_execution
D:\pilot_delivery\pilot_delivery\pilot_bundle_24\output\pilot_24_classes.csv,dry_run,1,6489406,ais-lib-communication,ScenarioTracker,ScenarioTrackerTest,6489406_ScenarioTracker,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,no_repair_no_source_fix_generated_failures_zero_filled,output/6489406/response_gpt-4o-mini-2024-07-18_rbl4-zero-shot_ScenarioTrackerTest.java,0,,,,0,,,,,0.0,0.0,0.0,0.0,dry_run_no_agone_execution
D:\pilot_delivery\pilot_delivery\pilot_bundle_24\output\pilot_24_classes.csv,dry_run,1,6489406,ais-lib-communication,ScenarioTracker,ScenarioTrackerTest,6489406_ScenarioTracker,evosuite,evosuite,-,no_repair_no_source_fix_generated_failures_zero_filled,output/6489406/response_evosuite_ScenarioTrackerTest.java,0,,,,0,,,,,0.0,0.0,0.0,0.0,dry_run_no_agone_execution
D:\pilot_delivery\pilot_delivery\pilot_bundle_24\output\pilot_24_classes.csv,dry_run,2,49126308,db-scroll-elastic,ElasticScroll,ElasticScrollTest,49126308_ElasticScroll,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,no_repair_no_source_fix_generated_failures_zero_filled,output/49126308/response_gpt-4o-mini-2024-07-18_rbl4-zero-shot_ElasticScrollTest.java,0,,,,0,,,,,0.0,0.0,0.0,0.0,dry_run_no_agone_execution
D:\pilot_delivery\pilot_delivery\pilot_bundle_24\output\pilot_24_classes.csv,dry_run,2,49126308,db-scroll-elastic,ElasticScroll,ElasticScrollTest,49126308_ElasticScroll,evosuite,evosuite,-,no_repair_no_source_fix_generated_failures_zero_filled,output/49126308/response_evosuite_ElasticScrollTest.java,0,,,,0,,,,,0.0,0.0,0.0,0.0,dry_run_no_agone_execution
D:\pilot_delivery\pilot_delivery\pilot_bundle_24\output\pilot_24_classes.csv,dry_run,3,39770930,proxy,WaitAvailableBrowsersChecker,WaitAvailableBrowsersCheckerTest,39770930_WaitAvailableBrowsersChecker,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,no_repair_no_source_fix_generated_failures_zero_filled,output/39770930/response_gpt-4o-mini-2024-07-18_rbl4-zero-shot_WaitAvailableBrowsersCheckerTest.java,0,,,,0,,,,,0.0,0.0,0.0,0.0,dry_run_no_agone_execution
D:\pilot_delivery\pilot_delivery\pilot_bundle_24\output\pilot_24_classes.csv,dry_run,3,39770930,proxy,WaitAvailableBrowsersChecker,WaitAvailableBrowsersCheckerTest,39770930_WaitAvailableBrowsersChecker,evosuite,evosuite,-,no_repair_no_source_fix_generated_failures_zero_filled,output/39770930/response_evosuite_WaitAvailableBrowsersCheckerTest.java,0,,,,0,,,,,0.0,0.0,0.0,0.0,dry_run_no_agone_execution
D:\pilot_delivery\pilot_delivery\pilot_bundle_24\output\pilot_24_classes.csv,dry_run,4,37489990,tomcat-gcp-lib,TraceValve,TraceValveTest,37489990_TraceValve,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,no_repair_no_source_fix_generated_failures_zero_filled,output/37489990/response_gpt-4o-mini-2024-07-18_rbl4-zero-shot_TraceValveTest.java,0,,,,0,,,,,0.0,0.0,0.0,0.0,dry_run_no_agone_execution
D:\pilot_delivery\pilot_delivery\pilot_bundle_24\output\pilot_24_classes.csv,dry_run,4,37489990,tomcat-gcp-lib,TraceValve,TraceValveTest,37489990_TraceValve,evosuite,evosuite,-,no_repair_no_source_fix_generated_failures_zero_filled,output/37489990/response_evosuite_TraceValveTest.java,0,,,,0,,,,,0.0,0.0,0.0,0.0,dry_run_no_agone_execution
D:\pilot_delivery\pilot_delivery\pilot_bundle_24\output\pilot_24_classes.csv,dry_run,5,5093728,core,FeatureContext,FeatureContextTest,5093728_FeatureContext,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,no_repair_no_source_fix_generated_failures_zero_filled,output/5093728/response_gpt-4o-mini-2024-07-18_rbl4-zero-shot_FeatureContextTest.java,0,,,,0,,,,,0.0,0.0,0.0,0.0,dry_run_no_agone_execution
D:\pilot_delivery\pilot_delivery\pilot_bundle_24\output\pilot_24_classes.csv,dry_run,5,5093728,core,FeatureContext,FeatureContextTest,5093728_FeatureContext,evosuite,evosuite,-,no_repair_no_source_fix_generated_failures_zero_filled,output/5093728/response_evosuite_FeatureContextTest.java,0,,,,0,,,,,0.0,0.0,0.0,0.0,dry_run_no_agone_execution
D:\pilot_delivery\pilot_delivery\pilot_bundle_24\output\pilot_24_classes.csv,dry_run,6,7283919,dbfit-java,TeradataDatePeriod,TeradataDatePeriodTest,7283919_TeradataDatePeriod,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,no_repair_no_source_fix_generated_failures_zero_filled,output/7283919/response_gpt-4o-mini-2024-07-18_rbl4-zero-shot_TeradataDatePeriodTest.java,0,,,,0,,,,,0.0,0.0,0.0,0.0,dry_run_no_agone_execution
D:\pilot_delivery\pilot_delivery\pilot_bundle_24\output\pilot_24_classes.csv,dry_run,6,7283919,dbfit-java,TeradataDatePeriod,TeradataDatePeriodTest,7283919_TeradataDatePeriod,evosuite,evosuite,-,no_repair_no_source_fix_generated_failures_zero_filled,output/7283919/response_evosuite_TeradataDatePeriodTest.java,0,,,,0,,,,,0.0,0.0,0.0,0.0,dry_run_no_agone_execution
D:\pilot_delivery\pilot_delivery\pilot_bundle_24\output\pilot_24_classes.csv,dry_run,7,58767125,ch.obermuhlner.math.big,BigComplex,BigComplexTest,58767125_BigComplex,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,no_repair_no_source_fix_generated_failures_zero_filled,output/58767125/response_gpt-4o-mini-2024-07-18_rbl4-zero-shot_BigComplexTest.java,0,,,,0,,,,,0.0,0.0,0.0,0.0,dry_run_no_agone_execution
D:\pilot_delivery\pilot_delivery\pilot_bundle_24\output\pilot_24_classes.csv,dry_run,7,58767125,ch.obermuhlner.math.big,BigComplex,BigComplexTest,58767125_BigComplex,evosuite,evosuite,-,no_repair_no_source_fix_generated_failures_zero_filled,output/58767125/response_evosuite_BigComplexTest.java,0,,,,0,,,,,0.0,0.0,0.0,0.0,dry_run_no_agone_execution
D:\pilot_delivery\pilot_delivery\pilot_bundle_24\output\pilot_24_classes.csv,dry_run,8,56342003,kangaroo-server-authz,AbstractService,AbstractServiceTest,56342003_AbstractService,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,no_repair_no_source_fix_generated_failures_zero_filled,output/56342003/response_gpt-4o-mini-2024-07-18_rbl4-zero-shot_AbstractServiceTest.java,0,,,,0,,,,,0.0,0.0,0.0,0.0,dry_run_no_agone_execution
D:\pilot_delivery\pilot_delivery\pilot_bundle_24\output\pilot_24_classes.csv,dry_run,8,56342003,kangaroo-server-authz,AbstractService,AbstractServiceTest,56342003_AbstractService,evosuite,evosuite,-,no_repair_no_source_fix_generated_failures_zero_filled,output/56342003/response_evosuite_AbstractServiceTest.java,0,,,,0,,,,,0.0,0.0,0.0,0.0,dry_run_no_agone_execution
D:\pilot_delivery\pilot_delivery\pilot_bundle_24\output\pilot_24_classes.csv,dry_run,9,74217,flapjack-annotation,FieldLocator,FieldLocatorTest,74217_FieldLocator,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,no_repair_no_source_fix_generated_failures_zero_filled,output/74217/response_gpt-4o-mini-2024-07-18_rbl4-zero-shot_FieldLocatorTest.java,0,,,,0,,,,,0.0,0.0,0.0,0.0,dry_run_no_agone_execution
