id,title,abstract,authors,year,venue,search_string,v1_decision,v1_reason
1,ASTER: Natural and Multi-Language Unit Test Generation with LLMs,"Implementing automated unit tests is an important but time-consuming activity in software development. To assist developers in this task, many techniques for automating unit test generation have been developed. However, despite this effort, usable tools exist for very few programming languages. Moreover, studies have found that automatically generated tests suffer poor readability and do not resemble developer-written tests. In this work, we present a rigorous investigation of how large language models (LLMs) can help bridge the gap. We describe a generic pipeline that incorporates static analysis to guide LLMs in generating compilable and high-coverage test cases. We illustrate how the pipeline can be applied to different programming languages, specifically Java and Python, and to complex software requiring environment mocking. We conducted an empirical study to assess the quality of the generated tests in terms of code coverage and test naturalness-evaluating them on standard as well as enterprise Java applications and a large Python benchmark. Our results demonstrate that LLM-based test generation, when guided by static analysis, can be competitive with, and even outperform, state-of-the-art test-generation techniques in coverage achieved while also producing considerably more natural test cases that developers find easy to understand. We also present the results of a user study, conducted with 161 professional developers, that highlights the naturalness characteristics of the tests generated by our approach. Published in: 2025 IEEE/ACM 47th International Conference on Software Engineering: Software Engineering in Practice (ICSE-SEIP) Date of Conference: 27 April 2025 - 03 May 2025 Date Added to IEEE Xplore: 20 August 2025 ISBN Information: ISSN Information: DOI: 10.1109/ICSE-SEIP66354.2025.00042 Publisher: IEEE Conference Location: Ottawa, ON, Canada",Rangeet Pan; Myeongsoo Kim; Rahul Krishna; Raju Pavuluri; Saurabh Sinha,2025,2025 IEEE/ACM 47th International Conference on Software Engineering: Software Engineering in Practice (ICSE-SEIP),"(""large language model"" OR LLM OR GPT-4 OR ChatGPT) AND (""unit test generation"" OR ""test case generation"" OR ""automated test generation"") AND (Java OR Python)",INCLUDE,IC-L; IC-Y; IC-T; IC-P; IC-I; IC-E
2,Static Analysis and LLM for Comprehensive Java Unit Test Generation,"Software testing is crucial in ensuring the reliability and correctness of software applications. However, generating comprehensive test cases manually can be time-consuming and error-prone. This paper introduces SAGEN, a tool designed to automate Java unit test generation by leveraging static analysis of Syntax Trees (AST) and large language models (LLMs). SAGEN identifies literal values and their ranges, generating test cases that improve coverage and quality. In our experiments, SAGEN outperforms traditional test case generation tools such as EvoSuite and Randoop. It demonstrates a 10 \%10% improvement in code coverage and a 13 \% enhancement in test case quality. Furthermore, SAGEN achieves a compile pass rate of 89.7 \%, proving its effectiveness in producing both high-quality and reliable test cases. Published in: 2025 8th International Conference on Advanced Electronic Materials, Computers and Software Engineering (AEMCSE) Date of Conference: 09-11 May 2025 Date Added to IEEE Xplore: 24 June 2025 ISBN Information: DOI: 10.1109/AEMCSE65292.2025.11042526 Publisher: IEEE Conference Location: Nanjing, China",Wei Wei,2025,"2025 8th International Conference on Advanced Electronic Materials, Computers and Software Engineering (AEMCSE)","(""large language model"" OR LLM OR GPT-4 OR ChatGPT) AND (""unit test generation"" OR ""test case generation"" OR ""automated test generation"") AND (Java OR Python)",INCLUDE,IC-L; IC-Y; IC-T; IC-P; IC-I; IC-E
3,Unit Test Generation using Generative AI : A Comparative Performance Analysis of Autogeneration Tools,"Generating unit tests is a crucial task in software development, demanding substantial time and effort from programmers. The advent of Large Language Models (LLMs) introduces a novel avenue for unit test script generation. This research aims to experimentally investigate the effectiveness of LLMs, specifically exemplified by ChatGPT, for generating unit test scripts for Python programs, and how the generated test cases compare with those generated by an existing unit test generator (Pynguin). For experiments, we consider three types of code units: 1) Procedural scripts, 2) Function-based modular code, and 3) Class-based code. The generated test cases are evaluated based on criteria such as coverage, correctness, and readability. Our results show that ChatGPT's performance is comparable with Pynguin in terms of coverage, though for some cases its performance is superior to Pynguin. We also find that about a third of assertions generated by ChatGPT for some categories were incorrect. Our results also show that there is minimal overlap in missed statements between ChatGPT and Pynguin, thus, suggesting that a combination of both tools may enhance unit test generation performance. Finally, in our experiments, prompt engineering improved ChatGPT's performance, achieving a much higher coverage.CCS Concepts• Software and its engineering → Software testing and debugging; • Computing methodologies → Artificial intelligence. Published in: 2024 IEEE/ACM International Workshop on Large Language Models for Code (LLM4Code) Date of Conference: 20-20 April 2024 Date Added to IEEE Xplore: 30 October 2024 ISBN Information: Publisher: IEEE Conference Location: Lisbon, Portugal",Shreya Bhatia; Tarushi Gandhi; Dhruv Kumar; Pankaj Jalote,2024,2024 IEEE/ACM International Workshop on Large Language Models for Code (LLM4Code),"(""large language model"" OR LLM OR GPT-4 OR ChatGPT) AND (""unit test generation"" OR ""test case generation"" OR ""automated test generation"") AND (Java OR Python)",INCLUDE,IC-L; IC-Y; IC-T; IC-P; IC-I; IC-E
4,Evaluating ChatGPT-driven Automated Test Generation for Personalized Programming Education,"Large Language Models (LLMs), such as ChatGPT, hold immense potential to irrevocably influence the dimension of educational technology by providing empowerment for personalized learning experiences. This paper covers the integration of ChatGPT into existing eLearning platforms toward supporting Java programming education. Using artificial intelligence-based capabilities of ChatGPT in natural language processing, our software enables instructors to generate individual module assessments tailored to a student's profile with unprecedented ease. Evaluation of the effectiveness and efficiency of the system was performed by a comprehensive review of the system, obtaining feedback from instructors and students, and analyzing test performance metrics. The evaluation showed that most teachers found the system very user friendly, with significant savings in time for test creation. Satisfaction related to personalized tests designed by ChatGPT was also adequate, and the average scores achieved on test cases set by ChatGPT were relatively high compared to those manually curated. Results underline the potential of ChatGPT-driven automated test generation for enhancing personalized programming education on eLearning platforms, making available tailored assessment, by consideration of individual needs of students, and increased learning outcomes and efficiency. Published in: 2024 2nd International Conference on Foundation and Large Language Models (FLLM) Date of Conference: 26-29 November 2024 Date Added to IEEE Xplore: 28 January 2025 ISBN Information: DOI: 10.1109/FLLM63129.2024.10852510 Publisher: IEEE Conference Location: Dubai, United Arab Emirates",Christos Troussas; Christos Papakostas; Akrivi Krouska; Phivos Mylonas; Cleo Sgouropoulou,2024,2024 2nd International Conference on Foundation and Large Language Models (FLLM),"(""large language model"" OR LLM OR GPT-4 OR ChatGPT) AND (""unit test generation"" OR ""test case generation"" OR ""automated test generation"") AND (Java OR Python)",EXCLUDE,"EC-O – sinh test cho quiz/luyện tập lập trình giáo dục (sinh viên), không phải unit test phần mềm"
5,HITS: High-coverage LLM-based Unit Test Generation via Method Slicing,"Large language models (LLMs) have behaved well in generating unit tests for Java projects. However, the performance for covering the complex focal methods within the projects is poor. Complex methods comprise many conditions and loops, requiring the test cases to be various enough to cover all lines and branches. However, existing test generation methods with LLMs provide the whole method-to-test to the LLM without assistance on input analysis. The LLM has difficulty inferring the test inputs to cover all conditions, resulting in missing lines and branches. To tackle the problem, we propose decomposing the focal methods into slices and asking the LLM to generate test cases slice by slice. Our method simplifies the analysis scope, making it easier for the LLM to cover more lines and branches in each slice. We build a dataset comprising complex focal methods collected from the projects used by existing state-of-the-art approaches. Our experiment results show that our method significantly outperforms current test case generation methods with LLMs and the typical SBST method Evosuite regarding both line and branch coverage scores.CCS CONCEPTS• Software and its engineering → Software testing and debugging; • Computing methodologies → Natural language processing. Published in: 2024 39th IEEE/ACM International Conference on Automated Software Engineering (ASE) Date of Conference: 27 October 2024 - 01 November 2024 Date Added to IEEE Xplore: 29 November 2024 ISBN Information: ISSN Information: Publisher: IEEE Conference Location: Sacramento, CA, USA",Zejun Wang; Kaibo Liu; Ge Li; Zhi Jin,2024,2024 39th IEEE/ACM International Conference on Automated Software Engineering (ASE),"(""large language model"" OR LLM OR GPT-4 OR ChatGPT) AND (""unit test generation"" OR ""test case generation"" OR ""automated test generation"") AND (Java OR Python)",INCLUDE,IC-L; IC-Y; IC-T; IC-P; IC-I; IC-E
6,Test Intention Guided LLM-Based Unit Test Generation,"The emergence of Large Language Models (LLMs) has accelerated the progress of intelligent software engineering technologies, which brings promising possibilities for unit test generation. However, existing approaches for unit tests directly generated from Large Language Models (LLMs) often prove impractical due to their low coverage and insufficient mocking capabilities. This paper proposes IntUT, a novel approach that utilizes explicit test intentions (e.g., test inputs, mock behaviors, and expected results) to effectively guide the LLM to generate high-quality test cases. Our experimental results on three industry Java projects and live study demonstrate that prompting LLM with test intention can generate high-quality test cases for developers. Specifically, it achieves the improvements on branch coverage by 94 % and line coverage by 49 %. Finally, we obtain developers' feedback on using IntUT to generate cases for three new Java projects, achieving over 80 % line coverage and 30 % efficiency improvement on writing unit test cases. Published in: 2025 IEEE/ACM 47th International Conference on Software Engineering (ICSE) Date of Conference: 26 April 2025 - 06 May 2025 Date Added to IEEE Xplore: 23 June 2025 ISBN Information: ISSN Information: DOI: 10.1109/ICSE55347.2025.00243 Publisher: IEEE Conference Location: Ottawa, ON, Canada",Zifan Nan; Zhaoqiang Guo; Kui Liu; Xin Xia,2025,2025 IEEE/ACM 47th International Conference on Software Engineering (ICSE),"(""large language model"" OR LLM OR GPT-4 OR ChatGPT) AND (""unit test generation"" OR ""test case generation"" OR ""automated test generation"") AND (Java OR Python)",INCLUDE,IC-L; IC-Y; IC-T; IC-P; IC-I; IC-E
7,AI-Powered Multi-Agent Framework for Automated Unit Test Case Generation: Enhancing Software Quality through LLM’s,"Recent years have witnessed an enormous rise in the design, repair and the enhancement of software automation tests. The reliability of program’s unit testing has major impact on its overall performance. The anticipated influence of Artificial Intelligence advancements on test automation methodologies are significant. Many studies on automated testing implicitly assume that the test results are deterministic, means that similar tests faults remain same. The precision of software is largely ensured by unit testing. But writing unit tests manually is a time-consuming process, which leads us to drive into ""Automation Analysis"". Recent years comprised the application of Large Language Models (LLM’s) in numerous fields related to software development, especially the automated creation of unit testing.However, these frameworks require more instructions, or few shot learnings on sample tests that already exist. This research provides a comprehensive empirical assessment of the efficiency of LLM’s for automating unit testing production, with no need for further manual analysis. The method we employ is put into practice for test cases, an adaptable Agents and LLM-based testing framework that evaluates test cases generated, by reviewing and re-writing them in different phases. Evaluation of this test cases was done by using mistral-large LLM Model. The analysis results that developed acquired an overall coverage of 100% for code given. Finally, to enhance the typical evaluation, this research suggests and concludes that LLMs, can be successfully incorporated into present practices, through adaptative instructions and improvements. Published in: 2024 5th IEEE Global Conference for Advancement in Technology (GCAT) Date of Conference: 04-06 October 2024 Date Added to IEEE Xplore: 20 March 2025 ISBN Information: DOI: 10.1109/GCAT62922.2024.10923987 Publisher: IEEE Conference Location: Bangalore, India",Anusha Garlapati; M N V Satya Sai Muni Parmesh; Savitha; Jaisri S,2024,2024 5th IEEE Global Conference for Advancement in Technology (GCAT),"(""large language model"" OR LLM OR GPT-4 OR ChatGPT) AND (""unit test generation"" OR ""test case generation"" OR ""automated test generation"") AND (Java OR Python)",INCLUDE,IC-L; IC-Y; IC-T; IC-P; IC-I; IC-E
8,A Three-Stage Pipeline using ReAct and Reflexion for Reliable LLM-based Java Unit Test Case Generator,"Writing comprehensive unit tests is a time-consuming challenge in software development. While Large Language Model (LLM) based tools offer a solution, they often struggle with code correctness and reliability. This paper proposes a novel tool for generating Java unit tests using a three-stage pipeline architecture: code description, test scenario listing, and code generation. Our approach integrates advanced techniques like Reflexion for iterative description, parallel generation for scenario diversity, and the ReAct framework for dynamic code repair. Testing on Apache Commons projects shows superior code and branch coverage (92%−98%) over benchmarks, with 78 %-83 % execution success rate. Published in: 2025 IEEE International Conference on Data and Software Engineering (ICoDSE) Date of Conference: 28-29 October 2025 Date Added to IEEE Xplore: 28 January 2026 ISBN Information: ISSN Information: DOI: 10.1109/ICoDSE68111.2025.11351825 Publisher: IEEE Conference Location: Batam, Indonesia",Reza P. Ubaidillah; Yani Widyani,2025,2025 IEEE International Conference on Data and Software Engineering (ICoDSE),"(""large language model"" OR LLM OR GPT-4 OR ChatGPT) AND (""unit test generation"" OR ""test case generation"" OR ""automated test generation"") AND (Java OR Python)",INCLUDE,IC-L; IC-Y; IC-T; IC-P; IC-I; IC-E
9,LLMs for Automated Unit Test Generation and Assessment in Java: The AgoneTest Framework,"Unit testing is an essential but resource-intensive step in software development, ensuring individual code units function correctly. This paper introduces AgoneTest, an automated evaluation framework for Large Language Model-generated (LLM) unit tests in Java. AgoneTest does not aim to propose a novel test generation algorithm; rather, it supports researchers and developers in comparing different LLMs and prompting strategies through a standardized end-to-end evaluation pipeline under realistic conditions. We introduce the CLASSES2TEST dataset, which maps Java classes under test to their corresponding test classes, and a framework that integrates advanced evaluation metrics, such as mutation score and test smells, for a comprehensive assessment. Experimental results show that, for the subset of tests that compile, LLM-generated tests can match or exceed human-written tests in terms of coverage and defect detection. Our findings also demonstrate that enhanced prompting strategies contribute to test quality. AgoneTest clarifies the potential of LLMs in software testing and offers insights for future improvements in model design, prompt engineering, and testing practices. Published in: 2025 40th IEEE/ACM International Conference on Automated Software Engineering (ASE) Date of Conference: 16-20 November 2025 Date Added to IEEE Xplore: 28 January 2026 ISBN Information: ISSN Information: DOI: 10.1109/ASE63991.2025.00198 Publisher: IEEE Conference Location: Seoul, Korea, Republic of",Andrea Lops; Fedelucio Narducci; Azzurra Ragone; Michelantonio Trizio; Claudio Bartolini,2025,2025 40th IEEE/ACM International Conference on Automated Software Engineering (ASE),"(""large language model"" OR LLM OR GPT-4 OR ChatGPT) AND (""unit test generation"" OR ""test case generation"" OR ""automated test generation"") AND (Java OR Python)",INCLUDE,IC-L; IC-Y; IC-T; IC-P; IC-I; IC-E
10,Automated Validation of COBOL to Java Transformation,"Recent advances in Large Language Model (LLM) based Generative AI techniques have made it feasible to translate enterprise-level code from legacy languages such as COBOL to modern languages such as Java or Python. While the results of LLM-based automatic transformation are encouraging, the resulting code cannot be trusted to correctly translate the original code. We propose a framework and a tool to help validate the equivalence of COBOL and translated Java. The results can also help repair the code if there are some issues and provide feedback to the AI model to improve. We have developed a symbolic-execution-based test generation to automatically generate unit tests for the source COBOL programs which also mocks the external resource calls. We generate equivalent JUnit test cases with equivalent mocking as COBOL and run them to check semantic equivalence between original and translated programs. Demo Video: https://youtu.be/aqF_agNP-lUCCS CONCEPTS• Software and its engineering → Software testing and debugging. Published in: 2024 39th IEEE/ACM International Conference on Automated Software Engineering (ASE) Date of Conference: 27 October 2024 - 01 November 2024 Date Added to IEEE Xplore: 29 November 2024 ISBN Information: ISSN Information: Publisher: IEEE Conference Location: Sacramento, CA, USA",Atul Kumar; Diptikalyan Saha; Toshikai Yasue; Kohichi Ono; Saravanan Krishnan; Sandeep Hans; Fumiko Satoh; Gerald Mitchell; Sachin Kumar,2024,2024 39th IEEE/ACM International Conference on Automated Software Engineering (ASE),"(""large language model"" OR LLM OR GPT-4 OR ChatGPT) AND (""unit test generation"" OR ""test case generation"" OR ""automated test generation"") AND (Java OR Python)",EXCLUDE,"EC-O – dịch & kiểm thử code (COBOL-to-Java migration), không phải unit test generation"
